Date,Open,High,Low,Close,Adj Close,Volume
2019-07-02,1.400000,1.410000,1.370000,1.370000,1.268178,1644600
2019-07-03,1.380000,1.390000,1.370000,1.380000,1.277434,968900
2019-07-04,1.380000,1.400000,1.370000,1.380000,1.277434,910500
2019-07-05,1.390000,1.390000,1.370000,1.370000,1.268178,398100
2019-07-08,1.380000,1.380000,1.370000,1.380000,1.277434,381200
2019-07-09,1.380000,1.380000,1.340000,1.350000,1.249664,1716700
2019-07-10,1.350000,1.360000,1.340000,1.340000,1.240407,815900
2019-07-11,1.350000,1.350000,1.330000,1.330000,1.231151,1632400
2019-07-12,1.340000,1.380000,1.340000,1.340000,1.240407,1737600
2019-07-15,1.350000,1.360000,1.330000,1.330000,1.231151,1517700
2019-07-17,1.350000,1.360000,1.340000,1.340000,1.240407,1243600
2019-07-18,1.340000,1.350000,1.330000,1.350000,1.249664,533900
2019-07-19,1.340000,1.360000,1.340000,1.360000,1.258921,835400
2019-07-22,1.370000,1.370000,1.350000,1.350000,1.249664,1304200
2019-07-23,1.360000,1.360000,1.340000,1.340000,1.240407,933200
2019-07-24,1.340000,1.350000,1.330000,1.340000,1.240407,684200
2019-07-25,1.340000,1.340000,1.310000,1.320000,1.221894,1170100
2019-07-26,1.330000,1.330000,1.290000,1.300000,1.203380,1976200
2019-07-30,1.300000,1.310000,1.280000,1.280000,1.184867,596900
2019-07-31,1.290000,1.300000,1.280000,1.290000,1.194124,235500
2019-08-01,1.290000,1.330000,1.280000,1.280000,1.184867,1585800
2019-08-02,1.290000,1.290000,1.260000,1.280000,1.184867,1048000
2019-08-05,1.270000,1.280000,1.260000,1.260000,1.166353,754200
2019-08-06,1.260000,1.280000,1.250000,1.280000,1.184867,652300
2019-08-07,1.270000,1.280000,1.260000,1.260000,1.166353,489300
2019-08-08,1.260000,1.270000,1.260000,1.270000,1.175610,495900
2019-08-09,1.260000,1.270000,1.210000,1.210000,1.120069,2717900
2019-08-13,1.210000,1.210000,1.130000,1.130000,1.046015,2785800
2019-08-14,1.140000,1.160000,1.130000,1.130000,1.046015,1369300
2019-08-15,1.100000,1.110000,1.070000,1.080000,0.999731,2301500
2019-08-16,1.080000,1.110000,1.080000,1.100000,1.018245,757200
2019-08-19,1.100000,1.120000,1.100000,1.100000,1.018245,533900
2019-08-20,1.110000,1.120000,1.100000,1.100000,1.018245,560100
2019-08-21,1.100000,1.130000,1.100000,1.110000,1.027502,160200
2019-08-22,1.120000,1.120000,1.100000,1.100000,1.018245,1247500
2019-08-23,1.110000,1.110000,1.100000,1.100000,1.018245,434900
2019-08-26,1.100000,1.100000,1.090000,1.090000,1.008988,436700
2019-08-27,1.090000,1.120000,1.090000,1.100000,1.018245,446500
